"Location","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
29,"BB_168","BB_081","2022-BB-081-G1-029-5",1,1,0,0,0
29,"BB_100","BB_135","2022-BB-135-G1-029-8",2,1,1,1,0
31,"BB_173","BB_095","2022-BB-095-G1-031-8",6,1,0,0,0
31,"BB_162","BB_154","2022-BB-154-G1-031-4",3,1,0,0,0
31,"BB_065","BB_133","2022-BB-133-G1-031-3",4,1,0,0,0
32,"BB_073","BB_064","2022-BB-064-G1-032-3",1,1,0,0,0
32,"BB_167","BB_008","2022-BB-008-G1-032-8",5,1,2,0,0
33,"BB_194","BB_159","2022-BB-159-G1-033-5",4,1,8,5,5
33,"BB_217","BB_205_A","2022-BB-205_A-G1-033-1",1,1,7,5,24
33,"BB_213","BB_147","2022-BB-147-G1-033-1",6,1,1,1,4
34,"BB_014","BB_102","2022-BB-102-G1-034-7",5,1,0,0,0
34,"BB_026","BB_053","2022-BB-053-G1-034-2",3,1,2,2,0
34,"BB_168","BB_046","2022-BB-046-G1-034-1",4,1,0,0,0
35,"BB_174","BB_002","2022-BB-002-G1-035-6",7,1,2,2,0
35,"BB_055","BB_183","2022-BB-183-G1-035-7",0,0,0,0,0
36,"BB_107","BB_151","2022-BB-151-G1-036-2",4,1,0,0,0
36,"BB_213","BB_204","2022-BB-204-G1-036-8",3,1,1,1,0
36,"BB_001","BB_072","2022-BB-072-G1-036-4",1,1,0,0,0
37,"BB_057","BB_121","2022-BB-121-G1-037-7",6,1,3,1,0
37,"BB_213","BB_132","2022-BB-132-G1-037-6",3,1,8,7,21
37,"BB_175","BB_050","2022-BB-050-G1-037-2",1,1,1,1,4
38,"BB_196","BB_089","2022-BB-089-G1-038-4",1,1,3,1,3
38,"BB_122","BB_126","2022-BB-126-G1-038-3",1,1,0,0,0
38,"BB_015","BB_063","2022-BB-063-G1-038-6",0,0,0,0,0
38,"BB_091","BB_139","2022-BB-139-G1-038-7",1,1,1,1,1
39,"BB_055","BB_145","2022-BB-145-G1-039-4",3,1,3,3,8
39,"BB_051","BB_105","2022-BB-105-G1-039-3",3,1,1,0,0
39,"BB_171","BB_039","2022-BB-039-G1-039-5",5,1,0,0,0
41,"BB_115","BB_077","2022-BB-077-G1-041-1",0,0,0,0,0
41,"BB_141","BB_037","2022-BB-037-G1-041-2",3,1,2,0,0
41,"BB_023","BB_190","2022-BB-190-G1-041-2",4,1,3,0,0
42,"BB_015","BB_111","2022-BB-111-G1-042-6",2,1,1,0,0
42,"BB_198","BB_138","2022-BB-138-G1-042-1",3,1,2,2,5
43,"BB_198","BB_035","2022-BB-035-G1-043-2",4,1,0,0,0
43,"BB_217","BB_054","2022-BB-054-G1-043-6",2,1,2,2,0
43,"BB_066","BB_087","2022-BB-087-G1-043-7",2,1,1,1,2
44,"BB_014","BB_152","2022-BB-152-G1-044-2",1,1,2,2,6
44,"BB_122","BB_208","2022-BB-208-G1-044-3",3,1,0,0,0
44,"BB_162","BB_040","2022-BB-040-G1-044-4",3,1,0,0,0
45,"BB_001","BB_043","2022-BB-043-G1-045-3",0,0,0,0,0
45,"BB_001","BB_074","2022-BB-074-G1-045-4",3,1,0,0,0
45,"BB_065","BB_192","2022-BB-192-G1-045-8",1,1,0,0,0
46,"BB_026","BB_153","2022-BB-153-G1-046-1",2,1,4,3,20
46,"BB_125","BB_024","2022-BB-024-G1-046-4",2,1,1,1,4
46,"BB_171","BB_127","2022-BB-127-G1-046-6",1,1,0,0,0
47,"BB_144","BB_030","2022-BB-030-G1-047-2",2,1,0,0,0
47,"BB_176","BB_049","2022-BB-049-G1-047-3",6,1,0,0,0
47,"BB_100","BB_031","2022-BB-031-G1-047-1",5,1,0,0,0
48,"BB_215","BB_148","2022-BB-148-G1-048-3",0,0,0,0,0
48,"BB_171","BB_157","2022-BB-157-G1-048-7",3,1,0,0,0
48,"BB_188","BB_205_B","2022-BB-205_B-G1-048-1",0,0,0,0,0
49,"BB_169","BB_181","2022-BB-181-G1-049-4",0,0,0,0,0
49,"BB_196","BB_088","2022-BB-088-G1-049-7",1,1,4,4,16
49,"BB_055","BB_119","2022-BB-119-G1-049-8",1,1,0,0,0
51,"BB_162","BB_080","2022-BB-080-G1-051-3",4,1,0,0,0
51,"BB_177","BB_140","2022-BB-140-G1-051-5",5,1,0,0,0
51,"BB_144","BB_158","2022-BB-158-G1-051-8",2,1,0,0,0
52,"BB_217","BB_016","2022-BB-016-G1-052-1",5,1,0,0,0
52,"BB_038","BB_216","2022-BB-216-G1-052-6",2,1,0,0,0
52,"BB_125","BB_051","2022-BB-051-G1-052-1",7,1,0,0,0
53,"BB_023","BB_078","2022-BB-078-G1-053-7",6,1,3,3,0
53,"BB_011","BB_056","2022-BB-056-G1-053-4",4,1,0,0,0
53,"BB_051","BB_118","2022-BB-118-G1-053-3",7,1,0,0,0
54,"BB_130","BB_120","2022-BB-120-G1-054-8",5,1,3,3,2
54,"BB_038","BB_042","2022-BB-042-G1-054-7",4,1,0,0,0
55,"BB_142","BB_086","2022-BB-086-G1-055-1",4,1,0,0,0
56,"BB_217","BB_016","2022-BB-016-G1-056-4",4,1,0,0,0
56,"BB_051","BB_118","2022-BB-118-G1-056-5",0,0,0,0,0
56,"BB_215","BB_148","2022-BB-148-G1-056-5",0,0,0,0,0
57,"BB_015","BB_111","2022-BB-111-G1-057-1",2,1,0,0,0
57,"BB_130","BB_120","2022-BB-120-G1-057-3",7,1,1,1,0
57,"BB_073","BB_092","2022-BB-092-G1-057-7",8,1,2,0,0
58,"BB_171","BB_127","2022-BB-127-G1-058-5",6,1,0,0,0
58,"BB_026","BB_153","2022-BB-153-G1-058-3",7,1,1,1,0
58,"BB_175","BB_050","2022-BB-050-G1-058-6",4,1,0,0,0
59,"BB_065","BB_133","2022-BB-133-G1-059-8",6,1,2,2,4
59,"BB_051","BB_143","2022-BB-143-G1-059-2",6,1,0,0,0
59,"BB_011","BB_056","2022-BB-056-G1-059-1",5,1,0,0,0
61,"BB_122","BB_027","2022-BB-027-G1-061-5",0,0,0,0,0
61,"BB_023","BB_078","2022-BB-078-G1-061-8",0,0,0,0,0
61,"BB_213","BB_147","2022-BB-147-G1-061-6",5,1,0,0,0
62,"BB_194","BB_214","2022-BB-214-G1-062-8",2,1,1,1,3
62,"BB_099","BB_061","2022-BB-061-G1-062-1",5,1,1,1,2
62,"BB_197","BB_211","2022-BB-211-G1-062-8",0,0,0,0,0
63,"BB_167","BB_114","2022-BB-114-G1-063-6",4,1,0,0,0
63,"BB_028","BB_083","2022-BB-083-G1-063-6",3,1,0,0,0
63,"BB_188","BB_171","2022-BB-171-G1-063-1",5,1,0,0,0
64,"BB_108","BB_069","2022-BB-069-G1-064-7",0,0,0,0,0
64,"BB_125","BB_051","2022-BB-051-G1-064-3",4,1,2,2,1
64,"BB_115","BB_020","2022-BB-020-G1-064-1",0,0,0,0,0
65,"BB_100","BB_135","2022-BB-135-G1-065-8",0,0,0,0,0
65,"BB_066","BB_052","2022-BB-052-G1-065-4",3,1,0,0,0
65,"BB_142","BB_150","2022-BB-150-G1-065-8",4,1,1,1,2
66,"BB_073","BB_084","2022-BB-084-G1-066-6",0,0,0,0,0
66,"BB_001","BB_043","2022-BB-043-G1-066-5",0,0,0,0,0
66,"BB_141","BB_037","2022-BB-037-G1-066-7",0,0,0,0,0
67,"BB_075","BB_164","2022-BB-164-G1-067-2",1,1,1,1,0
67,"BB_177","BB_134","2022-BB-134-G1-067-3",0,0,0,0,0
67,"BB_213","BB_204","2022-BB-204-G1-067-7",0,0,0,0,0
68,"BB_015","BB_218","2022-BB-218-G1-068-7",0,0,0,0,0
68,"BB_057","BB_121","2022-BB-121-G1-068-7",0,0,0,0,0
69,"BB_168","BB_081","2022-BB-081-G1-069-1",3,1,0,0,0
69,"BB_194","BB_163","2022-BB-163-G1-069-5",0,0,0,0,0
69,"BB_197","BB_199","2022-BB-199-G1-069-8",4,1,2,2,0
71,"BB_057","BB_146","2022-BB-146-G1-071-2",2,1,1,1,1
71,"BB_215","BB_210","2022-BB-210-G1-071-1",1,1,1,1,3
71,"BB_167","BB_008","2022-BB-008-G1-071-8",1,1,0,0,0
72,"BB_055","BB_119","2022-BB-119-G1-072-6",1,1,1,1,0
72,"BB_174","BB_068","2022-BB-068-G1-072-1",5,1,0,0,0
72,"BB_005","BB_195","2022-BB-195-G1-072-7",2,1,0,0,0
73,"BB_198","BB_045","2022-BB-045-G1-073-2",3,1,0,0,0
73,"BB_125","BB_024","2022-BB-024-G1-073-2",2,1,0,0,0
73,"BB_038","BB_216","2022-BB-216-G1-073-4",2,1,0,0,0
74,"BB_073","BB_064","2022-BB-064-G1-074-1",1,1,0,0,0
74,"BB_162","BB_040","2022-BB-040-G1-074-7",0,0,0,0,0
74,"BB_171","BB_157","2022-BB-157-G1-074-5",1,1,1,0,0
75,"BB_168","BB_058","2022-BB-058-G1-075-2",0,0,0,0,0
75,"BB_100","BB_031","2022-BB-031-G1-075-3",1,1,1,0,0
75,"BB_173","BB_095","2022-BB-095-G1-075-6",1,1,0,0,0
76,"BB_075","BB_085","2022-BB-085-G1-076-8",0,0,0,0,0
76,"BB_099","BB_161","2022-BB-161-G1-076-3",2,1,0,0,0
76,"BB_026","BB_053","2022-BB-053-G1-076-7",1,1,1,1,4
77,"BB_175","BB_104","2022-BB-104-G1-077-8",1,1,1,0,0
77,"BB_099","BB_032","2022-BB-032-G1-077-1",3,1,0,0,0
77,"BB_107","BB_151","2022-BB-151-G1-077-6",7,1,1,1,6
78,"BB_028","BB_209","2022-BB-209-G1-078-6",4,1,0,0,0
78,"BB_188","BB_009","2022-BB-009-G1-078-3",3,1,0,0,0
78,"BB_202","BB_018","2022-BB-018-G1-078-6",0,0,0,0,0
79,"BB_169","BB_076","2022-BB-076-G1-079-8",2,1,3,3,5
79,"BB_001","BB_072","2022-BB-072-G1-079-6",1,1,0,0,0
79,"BB_051","BB_105","2022-BB-105-G1-079-1",2,1,0,0,0
80,"BB_144","BB_207","2022-BB-207-G1-080-3",6,1,1,1,5
80,"BB_066","BB_019","2022-BB-019-G1-080-8",8,1,4,4,29
80,"BB_055","BB_145","2022-BB-145-G1-080-3",6,1,0,0,0
81,"BB_100","BB_113","2022-BB-113-G1-081-4",3,1,0,0,0
81,"BB_141","BB_003","2022-BB-003-G1-081-4",0,0,0,0,0
81,"BB_194","BB_159","2022-BB-159-G1-081-5",2,1,0,0,0
82,"BB_047","BB_131","2022-BB-131-G1-082-8",2,1,0,0,0
82,"BB_202","BB_025","2022-BB-025-G1-082-4",7,1,0,0,0
82,"BB_005","BB_166","2022-BB-166-G1-082-1",0,0,0,0,0
