"Location","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
109,"BB_125","BB_024","2022-BB-024-G1-109-8",1,1,0,0,0
109,"BB_066","BB_087","2022-BB-087-G1-109-3",3,1,0,0,0
109,"BB_108","BB_097","2022-BB-097-G1-109-2",0,0,0,0,0
111,"BB_171","BB_127","2022-BB-127-G1-111-7",3,1,2,1,1
111,"BB_122","BB_027","2022-BB-027-G1-111-2",5,1,0,0,0
111,"BB_108","BB_069","2022-BB-069-G1-111-1",2,1,0,0,0
112,"BB_107","BB_151","2022-BB-151-G1-112-1",3,1,0,0,0
112,"BB_099","BB_161","2022-BB-161-G1-112-8",6,1,0,0,0
112,"BB_174","BB_068","2022-BB-068-G1-112-5",0,0,0,0,0
112,"BB_015","BB_218","2022-BB-218-G1-112-8",1,1,0,0,0
113,"BB_182","BB_201","2022-BB-201-G1-113-6",1,1,0,0,0
113,"BB_144","BB_030","2022-BB-030-G1-113-4",2,1,0,0,0
113,"BB_051","BB_118","2022-BB-118-G1-113-6",2,1,0,0,0
114,"BB_099","BB_032","2022-BB-032-G1-114-7",4,1,0,0,0
114,"BB_198","BB_035","2022-BB-035-G1-114-4",6,1,0,0,0
114,"BB_122","BB_126","2022-BB-126-G1-114-3",0,0,0,0,0
115,"BB_194","BB_214","2022-BB-214-G1-115-7",4,1,0,0,0
115,"BB_115","BB_077","2022-BB-077-G1-115-7",3,1,2,2,4
115,"BB_202","BB_101","2022-BB-101-G1-115-4",0,0,0,0,0
116,"BB_023","BB_078","2022-BB-078-G1-116-7",2,1,1,1,0
116,"BB_038","BB_149","2022-BB-149-G1-116-5",1,1,0,0,0
116,"BB_073","BB_064","2022-BB-064-G1-116-8",0,0,0,0,0
117,"BB_023","BB_190","2022-BB-190-G1-117-3",5,1,3,2,2
117,"BB_073","BB_092","2022-BB-092-G1-117-8",7,1,4,3,3
117,"BB_091","BB_098","2022-BB-098-G1-117-1",6,1,1,0,0
118,"BB_174","BB_002","2022-BB-002-G1-118-4",5,1,0,0,0
118,"BB_005","BB_034","2022-BB-034-G1-118-8",2,1,0,0,0
118,"BB_144","BB_207","2022-BB-207-G1-118-5",2,1,0,0,0
