"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
7,"HR_100","HR_192","2022-HR-192-G1-007-1",5,1,22,22,38
7,"HR_195","HR_104","2022-HR-104-G1-007-5",6,1,4,3,1
7,"HR_133","HR_161","2022-HR-161-G1-007-4",8,1,2,2,6
7,"HR_064","HR_028","2022-HR-028-G1-007-6",7,1,59,59,156
7,"HR_002","HR_059","2022-HR-059-G1-007-7",8,1,29,29,41
7,"HR_164","HR_005","2022-HR-005-G1-007-3",7,1,18,18,43
7,"HR_070","HR_061","2022-HR-061-G1-007-3",7,1,18,17,12
7,"HR_110","HR_032","2022-HR-032-G1-007-1",8,1,2,2,17
7,"HR_108","HR_175","2022-HR-175-G1-007-7",6,1,26,24,65
7,"HR_005","HR_180","2022-HR-180-G1-007-5",6,1,1,1,0
7,"HR_135","HR_152","2022-HR-152-G1-007-2",8,1,8,6,4
7,"HR_059","HR_155","2022-HR-155-G1-007-1",8,1,14,14,19
7,"HR_171","HR_057","2022-HR-057-G1-007-2",7,1,9,8,7
7,"HR_088","HR_067","2022-HR-067-G1-007-5",8,1,15,14,23
7,"HR_034","HR_112","2022-HR-112-G1-007-3",6,1,25,24,53
7,"HR_062","HR_136","2022-HR-136-G1-007-2",7,1,11,9,3
7,"HR_131","HR_046","2022-HR-046-G1-007-4",6,1,14,13,29
7,"HR_002","HR_056","2022-HR-056-G1-007-5",8,1,0,0,0
7,"HR_200","HR_010","2022-HR-010-G1-007-1",5,1,6,0,0
7,"HR_006","HR_142","2022-HR-142-G1-007-5",7,1,22,18,37
7,"HR_066","HR_137","2022-HR-137-G1-007-5",8,1,15,9,7
7,"HR_034","HR_017","2022-HR-017-G1-007-3",8,1,8,8,4
7,"HR_008","HR_058","2022-HR-058-G1-007-2",8,1,0,0,0
7,"HR_180","HR_179","2022-HR-179-G1-007-5",8,1,13,13,6
7,"HR_196","HR_054","2022-HR-054-G1-007-4",8,1,3,3,4
7,"HR_164","HR_201","2022-HR-201-G1-007-4",7,1,8,8,4
7,"HR_141","HR_015","2022-HR-015-G1-007-2",8,1,25,21,38
7,"HR_070","HR_165","2022-HR-165-G1-007-3",8,1,13,12,4
7,"HR_141","HR_184","2022-HR-184-G1-007-7",8,1,0,0,0
7,"HR_095","HR_124","2022-HR-124-G1-007-8",5,1,3,3,3
7,"HR_148","HR_114","2022-HR-114-G1-007-3",8,1,14,11,22
7,"HR_139","HR_127","2022-HR-127-G1-007-2",8,1,12,10,11
7,"HR_088","HR_182","2022-HR-182-G1-007-7",8,1,6,6,4
7,"HR_057","HR_147","2022-HR-147-G1-007-2",6,1,0,0,0
7,"HR_062","HR_134","2022-HR-134-G1-007-5",8,1,0,0,0
7,"HR_149","HR_065","2022-HR-065-G1-007-1",8,1,15,14,13
7,"HR_171","HR_001","2022-HR-001-G1-007-5",8,1,23,18,51
7,"HR_196","HR_183","2022-HR-183-G1-007-1",8,1,6,6,5
7,"HR_168","HR_148","2022-HR-148-G1-007-7",8,1,15,10,30
7,"HR_069","HR_156","2022-HR-156-G1-007-7",8,1,19,16,23
7,"HR_131","HR_049","2022-HR-049-G1-007-1",7,1,8,7,4
7,"HR_115","HR_131","2022-HR-131-G1-007-1",4,1,22,22,28
8,"HR_121","HR_139","2022-HR-139-G1-008-1",7,1,27,23,49
8,"HR_064","HR_019","2022-HR-019-G1-008-3",7,1,29,29,10
8,"HR_155","HR_121","2022-HR-121-G1-008-1",5,1,0,0,0
8,"HR_147","HR_150","2022-HR-150-G1-008-2",8,1,0,0,0
8,"HR_053","HR_092","2022-HR-092-G1-008-2",6,1,8,5,16
8,"HR_164","HR_041","2022-HR-041-G1-008-6",7,1,18,15,50
8,"HR_160","HR_033","2022-HR-033-G1-008-7",8,1,5,4,2
8,"HR_053","HR_169","2022-HR-169-G1-008-6",7,1,11,10,11
8,"HR_133","HR_072","2022-HR-072-G1-008-5",6,1,6,6,0
8,"HR_108","HR_177","2022-HR-177-G1-008-2",6,1,10,9,25
8,"HR_189","HR_051","2022-HR-051-G1-008-8",7,1,19,14,2
8,"HR_175","HR_164","2022-HR-164-G1-008-3",8,1,17,15,49
8,"HR_027","HR_119","2022-HR-119-G1-008-6",8,1,15,14,79
8,"HR_121","HR_141","2022-HR-141-G1-008-6",8,1,0,0,0
8,"HR_133","HR_158","2022-HR-158-G1-008-3",8,1,0,0,0
8,"HR_115","HR_026","2022-HR-026-G1-008-2",8,1,11,9,4
8,"HR_095","HR_178","2022-HR-178-G1-008-6",8,1,24,22,24
8,"HR_008","HR_042","2022-HR-042-G1-008-8",7,1,14,12,2
8,"HR_008","HR_012","2022-HR-012-G1-008-1",7,1,17,17,33
8,"HR_200","HR_153","2022-HR-153-G1-008-3",8,1,11,11,15
8,"HR_069","HR_133","2022-HR-133-G1-008-5",8,1,16,12,21
8,"HR_057","HR_110","2022-HR-110-G1-008-1",8,1,9,9,8
8,"HR_027","HR_145","2022-HR-145-G1-008-4",8,1,3,3,4
8,"HR_115","HR_111","2022-HR-111-G1-008-1",7,1,13,13,4
8,"HR_006","HR_162","2022-HR-162-G1-008-7",8,1,8,7,4
8,"HR_148","HR_109","2022-HR-109-G1-008-3",7,1,6,5,7
8,"HR_156","HR_025","2022-HR-025-G1-008-1",6,1,0,0,0
8,"HR_149","HR_007","2022-HR-007-G1-008-3",7,1,3,1,0
8,"HR_085","HR_176","2022-HR-176-G1-008-8",8,1,22,17,18
8,"HR_168","HR_064","2022-HR-064-G1-008-1",8,1,6,6,0
8,"HR_057","HR_006","2022-HR-006-G1-008-1",8,1,5,5,2
8,"HR_074","HR_115","2022-HR-115-G1-008-6",6,1,10,10,8
8,"HR_135","HR_083","2022-HR-083-G1-008-5",8,1,16,13,21
8,"HR_059","HR_166","2022-HR-166-G1-008-3",8,1,5,5,1
8,"HR_157","HR_088","2022-HR-088-G1-008-5",7,1,34,34,56
8,"HR_189","HR_168","2022-HR-168-G1-008-2",7,1,10,9,10
8,"HR_195","HR_068","2022-HR-068-G1-008-7",8,1,18,14,6
8,"HR_195","HR_181","2022-HR-181-G1-008-6",7,1,17,16,29
8,"HR_125","HR_034","2022-HR-034-G1-008-6",5,1,7,7,6
8,"HR_189","HR_018","2022-HR-018-G1-008-6",8,1,20,20,32
8,"HR_095","HR_020","2022-HR-020-G1-008-7",8,1,0,0,0
8,"HR_062","HR_116","2022-HR-116-G1-008-7",8,1,5,3,5
8,"HR_088","HR_014","2022-HR-014-G1-008-1",5,1,10,6,6
8,"HR_005","HR_040","2022-HR-040-G1-008-8",6,1,27,24,20
8,"HR_002","HR_071","2022-HR-071-G1-008-5",7,1,20,19,4
8,"HR_160","HR_079","2022-HR-079-G1-008-8",8,1,1,1,5
