"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
3,"BO_073","BO_186","2022-BO-186-G1-003-8",0,0,0,0,0
3,"BO_185","BO_085","2022-BO-085-G1-003-7",1,1,0,0,0
3,"BO_022","BO_009","2022-BO-009-G1-003-6",0,0,0,0,0
3,"BO_040","BO_067","2022-BO-067-G1-003-7",0,0,0,0,0
3,"BO_013","BO_053","2022-BO-053-G1-003-8",0,0,0,0,0
3,"BO_189","BO_126","2022-BO-126-G1-003-3",3,1,3,2,1
3,"BO_199","BO_069","2022-BO-069-G1-003-1",3,1,6,6,6
3,"BO_058","BO_123","2022-BO-123-G1-003-2",2,1,0,0,0
3,"BO_187","BO_150","2022-BO-150-G1-003-4",2,1,1,1,0
3,"BO_151","BO_148","2022-BO-148-G1-003-3",0,0,0,0,0
3,"BO_198","BO_158","2022-BO-158-G1-003-1",5,1,1,1,0
3,"BO_109","BO_001","2022-BO-001-G1-003-5",6,1,2,1,0
3,"BO_198","BO_100","2022-BO-100-G1-003-8",2,1,0,0,0
3,"BO_022","BO_146","2022-BO-146-G1-003-7",3,1,8,3,6
3,"BO_088","BO_169","2022-BO-169-G1-003-6",1,1,13,3,3
3,"BO_183","BO_116","2022-BO-116-G1-003-6",3,1,5,2,0
3,"BO_040","BO_171","2022-BO-171-G1-003-3",5,1,1,1,0
3,"BO_001","BO_025","2022-BO-025-G1-003-5",2,1,0,0,0
3,"BO_096","BO_134","2022-BO-134-G1-003-5",1,1,0,0,0
3,"BO_119","BO_013","2022-BO-013-G1-003-7",0,0,0,0,0
3,"BO_069","BO_145","2022-BO-145-G1-003-4",4,1,1,1,6
3,"BO_189","BO_142","2022-BO-142-G1-003-6",3,1,0,0,0
3,"BO_088","BO_140","2022-BO-140-G1-003-1",2,1,0,0,0
3,"BO_001","BO_151","2022-BO-151-G1-003-6",2,1,0,0,0
3,"BO_109","BO_028","2022-BO-028-G1-003-1",2,1,0,0,0
3,"BO_029","BO_190","2022-BO-190-G1-003-7",0,0,0,0,0
3,"BO_173","BO_054","2022-BO-054-G1-003-1",2,1,0,0,0
3,"BO_032","BO_088","2022-BO-088-G1-003-5",1,1,13,3,6
4,"BO_065","BO_014","2022-BO-014-G1-004-2",1,1,1,1,0
4,"BO_173","BO_091","2022-BO-091-G1-004-2",0,0,0,0,0
4,"BO_153","BO_177","2022-BO-177-G1-004-1",0,0,0,0,0
4,"BO_058","BO_081","2022-BO-081-G1-004-2",0,0,0,0,0
4,"BO_153","BO_157","2022-BO-157-G1-004-4",0,0,0,0,0
4,"BO_022","BO_020","2022-BO-020-G1-004-8",0,0,0,0,0
4,"BO_029","BO_090","2022-BO-090-G1-004-8",1,1,2,2,0
4,"BO_070","BO_046","2022-BO-046-G1-004-3",1,1,0,0,0
4,"BO_199","BO_015","2022-BO-015-G1-004-2",1,1,1,0,0
4,"BO_143","BO_195","2022-BO-195-G1-004-3",1,1,0,0,0
4,"BO_199","BO_018","2022-BO-018-G1-004-6",0,0,0,0,0
4,"BO_163","BO_144","2022-BO-144-G1-004-3",2,1,0,0,0
4,"BO_149","BO_032","2022-BO-032-G1-004-6",1,1,0,0,0
4,"BO_106","BO_131","2022-BO-131-G1-004-3",2,1,0,0,0
4,"BO_074","BO_027","2022-BO-027-G1-004-8",0,0,0,0,0
4,"BO_194","BO_037","2022-BO-037-G1-004-3",1,1,0,0,0
4,"BO_177","BO_147","2022-BO-147-G1-004-3",4,1,0,0,0
4,"BO_151","BO_167","2022-BO-167-G1-004-7",1,1,2,1,2
4,"BO_039","BO_087","2022-BO-087-G1-004-6",1,1,0,0,0
4,"BO_130","BO_161","2022-BO-161-G1-004-6",2,1,0,0,0
4,"BO_039","BO_102","2022-BO-102-G1-004-5",0,0,0,0,0
4,"BO_070","BO_184","2022-BO-184-G1-004-7",3,1,1,0,0
5,"BO_040","BO_171","2022-BO-171-G1-005-1",4,1,1,0,0
5,"BO_177","BO_121","2022-BO-121-G1-005-7",1,1,7,2,3
5,"BO_128","BO_060","2022-BO-060-G1-005-8",3,1,0,0,0
5,"BO_183","BO_063","2022-BO-063-G1-005-8",3,1,0,0,0
5,"BO_096","BO_012","2022-BO-012-G1-005-2",3,1,3,0,0
5,"BO_022","BO_020","2022-BO-020-G1-005-1",3,1,7,0,0
5,"BO_153","BO_022","2022-BO-022-G1-005-2",2,1,0,0,0
5,"BO_162","BO_108","2022-BO-108-G1-005-1",5,1,0,0,0
5,"BO_183","BO_198","2022-BO-198-G1-005-8",3,1,0,0,0
5,"BO_065","BO_014","2022-BO-014-G1-005-7",3,1,3,2,0
5,"BO_109","BO_001","2022-BO-001-G1-005-4",4,1,0,0,0
5,"BO_162","BO_089","2022-BO-089-G1-005-7",1,1,3,2,4
5,"BO_109","BO_095","2022-BO-095-G1-005-8",5,1,2,0,0
5,"BO_058","BO_081","2022-BO-081-G1-005-4",0,0,0,0,0
5,"BO_038","BO_082","2022-BO-082-G1-005-6",3,1,3,0,0
5,"BO_170","BO_045","2022-BO-045-G1-005-5",4,1,1,1,4
5,"BO_119","BO_017","2022-BO-017-G1-005-6",2,1,6,3,6
5,"BO_065","BO_115","2022-BO-115-G1-005-2",6,1,4,1,2
5,"BO_185","BO_071","2022-BO-071-G1-005-3",2,1,1,1,0
5,"BO_189","BO_086","2022-BO-086-G1-005-3",1,1,20,2,1
5,"BO_173","BO_079","2022-BO-079-G1-005-4",3,1,9,7,3
5,"BO_185","BO_085","2022-BO-085-G1-005-6",2,1,0,0,0
5,"BO_013","BO_141","2022-BO-141-G1-005-4",0,0,0,0,0
5,"BO_194","BO_098","2022-BO-098-G1-005-5",5,1,5,5,15
5,"BO_201","BO_199","2022-BO-199-G1-005-5",0,0,0,0,0
5,"BO_119","BO_051","2022-BO-051-G1-005-1",4,1,1,1,0
5,"BO_038","BO_149","2022-BO-149-G1-005-2",2,1,3,3,2
5,"BO_149","BO_106","2022-BO-106-G1-005-8",1,1,0,0,0
5,"BO_109","BO_028","2022-BO-028-G1-005-5",1,1,0,0,0
5,"BO_074","BO_027","2022-BO-027-G1-005-1",0,0,0,0,0
5,"BO_170","BO_111","2022-BO-111-G1-005-6",0,0,0,0,0
5,"BO_069","BO_145","2022-BO-145-G1-005-6",0,0,0,0,0
5,"BO_022","BO_146","2022-BO-146-G1-005-6",0,0,0,0,0
5,"BO_013","BO_053","2022-BO-053-G1-005-8",0,0,0,0,0
5,"BO_143","BO_195","2022-BO-195-G1-005-4",1,1,0,0,0
5,"BO_187","BO_031","2022-BO-031-G1-005-6",2,1,1,0,0
5,"BO_088","BO_140","2022-BO-140-G1-005-4",1,1,6,1,2
5,"BO_013","BO_114","2022-BO-114-G1-005-8",2,1,2,0,0
5,"BO_070","BO_046","2022-BO-046-G1-005-5",0,0,0,0,0
5,"BO_073","BO_117","2022-BO-117-G1-005-1",1,1,0,0,0
5,"BO_073","BO_186","2022-BO-186-G1-005-6",4,1,0,0,0
5,"BO_074","BO_047","2022-BO-047-G1-005-4",1,1,0,0,0
5,"BO_128","BO_044","2022-BO-044-G1-005-1",0,0,0,0,0
5,"BO_005","BO_122","2022-BO-122-G1-005-7",3,1,0,0,0
6,"BO_029","BO_061","2022-BO-061-G1-006-3",6,1,11,3,0
6,"BO_106","BO_131","2022-BO-131-G1-006-5",4,1,32,5,4
6,"BO_188","BO_008","2022-BO-008-G1-006-7",5,1,10,5,6
6,"BO_185","BO_153","2022-BO-153-G1-006-1",7,1,3,0,0
6,"BO_088","BO_050","2022-BO-050-G1-006-4",4,1,0,0,0
6,"BO_001","BO_025","2022-BO-025-G1-006-7",7,1,6,4,0
6,"BO_177","BO_147","2022-BO-147-G1-006-8",3,1,0,0,0
6,"BO_032","BO_132","2022-BO-132-G1-006-6",3,1,3,0,0
6,"BO_151","BO_056","2022-BO-056-G1-006-8",4,1,17,3,10
6,"BO_038","BO_137","2022-BO-137-G1-006-2",6,1,4,2,3
6,"BO_188","BO_052","2022-BO-052-G1-006-2",6,1,6,0,0
6,"BO_074","BO_118","2022-BO-118-G1-006-1",7,1,2,0,0
6,"BO_177","BO_139","2022-BO-139-G1-006-8",6,1,0,0,0
6,"BO_065","BO_078","2022-BO-078-G1-006-4",6,1,1,1,1
6,"BO_192","BO_127","2022-BO-127-G1-006-2",7,1,4,0,0
6,"BO_201","BO_130","2022-BO-130-G1-006-2",6,1,0,0,0
6,"BO_130","BO_120","2022-BO-120-G1-006-7",5,1,1,0,0
6,"BO_039","BO_200","2022-BO-200-G1-006-8",4,1,2,2,6
6,"BO_149","BO_032","2022-BO-032-G1-006-4",2,1,1,1,0
6,"BO_073","BO_070","2022-BO-070-G1-006-5",4,1,9,2,5
6,"BO_032","BO_096","2022-BO-096-G1-006-4",1,1,0,0,0
6,"BO_130","BO_161","2022-BO-161-G1-006-1",2,1,4,1,0
6,"BO_153","BO_157","2022-BO-157-G1-006-6",3,1,18,4,5
6,"BO_029","BO_090","2022-BO-090-G1-006-1",7,1,4,2,1
6,"BO_106","BO_191","2022-BO-191-G1-006-4",1,1,20,4,0
6,"BO_001","BO_151","2022-BO-151-G1-006-8",5,1,1,1,2
6,"BO_189","BO_142","2022-BO-142-G1-006-4",2,1,19,2,0
6,"BO_130","BO_174","2022-BO-174-G1-006-1",3,1,4,2,3
6,"BO_198","BO_158","2022-BO-158-G1-006-2",2,1,9,0,0
6,"BO_101","BO_182","2022-BO-182-G1-006-5",3,1,13,4,11
7,"BO_101","BO_080","2022-BO-080-G1-007-2",3,1,0,0,0
7,"BO_040","BO_029","2022-BO-029-G1-007-1",4,1,0,0,0
7,"BO_201","BO_189","2022-BO-189-G1-007-4",4,1,1,0,0
7,"BO_106","BO_104","2022-BO-104-G1-007-2",2,1,10,4,2
7,"BO_170","BO_055","2022-BO-055-G1-007-2",3,1,1,1,1
7,"BO_187","BO_135","2022-BO-135-G1-007-3",5,1,3,2,3
7,"BO_069","BO_043","2022-BO-043-G1-007-7",4,1,0,0,0
7,"BO_040","BO_067","2022-BO-067-G1-007-2",7,1,0,0,0
7,"BO_153","BO_177","2022-BO-177-G1-007-6",8,1,0,0,0
7,"BO_128","BO_105","2022-BO-105-G1-007-6",2,1,0,0,0
7,"BO_101","BO_024","2022-BO-024-G1-007-4",3,1,2,2,0
7,"BO_039","BO_087","2022-BO-087-G1-007-3",4,1,0,0,0
7,"BO_194","BO_125","2022-BO-125-G1-007-7",8,1,6,5,13
7,"BO_119","BO_013","2022-BO-013-G1-007-3",3,1,1,1,0
7,"BO_187","BO_150","2022-BO-150-G1-007-3",7,1,2,2,1
7,"BO_058","BO_094","2022-BO-094-G1-007-1",6,1,0,0,0
7,"BO_149","BO_185","2022-BO-185-G1-007-2",3,1,0,0,0
7,"BO_033","BO_124","2022-BO-124-G1-007-7",7,1,5,1,0
7,"BO_192","BO_166","2022-BO-166-G1-007-1",5,1,6,0,0
7,"BO_163","BO_072","2022-BO-072-G1-007-7",2,1,1,1,2
7,"BO_199","BO_069","2022-BO-069-G1-007-5",2,1,0,0,0
7,"BO_198","BO_159","2022-BO-159-G1-007-1",3,1,0,0,0
7,"BO_033","BO_099","2022-BO-099-G1-007-7",4,1,3,3,1
7,"BO_162","BO_164","2022-BO-164-G1-007-6",4,1,1,1,1
7,"BO_168","BO_155","2022-BO-155-G1-007-8",2,1,3,3,13
7,"BO_058","BO_123","2022-BO-123-G1-007-1",7,1,1,1,3
8,"BO_143","BO_152","2022-BO-152-G1-008-6",5,1,2,1,2
8,"BO_032","BO_088","2022-BO-088-G1-008-1",4,1,3,2,7
8,"BO_173","BO_054","2022-BO-054-G1-008-8",5,1,0,0,0
8,"BO_183","BO_116","2022-BO-116-G1-008-5",3,1,3,1,0
8,"BO_151","BO_148","2022-BO-148-G1-008-8",5,1,5,0,0
8,"BO_168","BO_180","2022-BO-180-G1-008-4",5,1,2,1,0
8,"BO_198","BO_100","2022-BO-100-G1-008-2",4,1,4,2,1
8,"BO_194","BO_037","2022-BO-037-G1-008-6",6,1,7,0,0
8,"BO_199","BO_018","2022-BO-018-G1-008-6",3,1,0,0,0
8,"BO_070","BO_184","2022-BO-184-G1-008-1",6,1,1,1,1
8,"BO_005","BO_019","2022-BO-019-G1-008-3",5,1,1,1,0
8,"BO_070","BO_066","2022-BO-066-G1-008-6",6,1,0,0,0
8,"BO_033","BO_143","2022-BO-143-G1-008-3",7,1,1,1,0
8,"BO_163","BO_034","2022-BO-034-G1-008-4",7,1,1,1,7
8,"BO_168","BO_175","2022-BO-175-G1-008-2",7,1,1,0,0
8,"BO_096","BO_134","2022-BO-134-G1-008-7",4,1,6,1,1
8,"BO_173","BO_091","2022-BO-091-G1-008-2",6,1,14,9,11
8,"BO_001","BO_048","2022-BO-048-G1-008-1",5,1,1,1,1
8,"BO_189","BO_126","2022-BO-126-G1-008-4",6,1,8,5,3
8,"BO_192","BO_021","2022-BO-021-G1-008-6",4,1,10,4,12
