"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
8,"AC_008","AC_092","2022-AC-092-G1-008-2",7,1,10,9,4
8,"AC_195","AC_179","2022-AC-179-G1-008-1",8,1,11,11,14
8,"AC_156","AC_005","2022-AC-005-G1-008-6",8,1,7,7,6
8,"AC_061","AC_052","2022-AC-052-G1-008-9",4,1,6,6,5
8,"AC_039","AC_148","2022-AC-148-G1-008-5",5,1,0,0,0
8,"AC_052","AC_133","2022-AC-133-G1-008-3",3,1,7,7,5
8,"AC_061","AC_158","2022-AC-158-G1-008-5",3,1,6,6,6
8,"AC_198","AC_051","2022-AC-051-G1-008-7",7,1,0,0,0
8,"AC_207","AC_082","2022-AC-082-G1-008-8",8,1,3,3,2
8,"AC_161","AC_088","2022-AC-088-G1-008-2",8,1,7,6,9
8,"AC_068","AC_195","2022-AC-195-G1-008-5",4,1,2,2,5
8,"AC_179","AC_136","2022-AC-136-G1-008-3",6,1,3,3,3
8,"AC_198","AC_066","2022-AC-066-G1-008-1",6,1,3,3,1
8,"AC_102","AC_191","2022-AC-191-G1-008-7",2,1,0,0,0
8,"AC_207","AC_070","2022-AC-070-G1-008-4",7,1,5,4,9
8,"AC_103","AC_154","2022-AC-154-G1-008-10",7,1,8,7,8
8,"AC_165","AC_206","2022-AC-206-G1-008-7",6,1,3,3,0
8,"AC_172","AC_208","2022-AC-208-G1-008-2",6,1,5,5,3
8,"AC_159","AC_192","2022-AC-192-G1-008-1",4,1,3,2,7
8,"AC_156","AC_016","2022-AC-016-G1-008-6",5,1,6,6,8
8,"AC_168","AC_010","2022-AC-010-G1-008-8",5,1,2,2,0
8,"AC_160","AC_015","2022-AC-015-G1-008-3",7,1,6,5,7
8,"AC_052","AC_131","2022-AC-131-G1-008-7",6,1,44,41,131
8,"AC_064","AC_086","2022-AC-086-G1-008-1",6,1,5,3,11
8,"AC_168","AC_159","2022-AC-159-G1-008-7",1,1,20,8,37
8,"AC_161","AC_213","2022-AC-213-G1-008-4",2,1,9,6,15
8,"AC_103","AC_144","2022-AC-144-G1-008-2",6,1,1,0,0
8,"AC_150","AC_200","2022-AC-200-G1-008-7",5,1,7,7,24
8,"AC_170","AC_185","2022-AC-185-G1-008-6",2,1,14,12,82
8,"AC_169","AC_182","2022-AC-182-G1-008-3",3,1,2,1,5
8,"AC_165","AC_199","2022-AC-199-G1-008-4",7,1,4,4,9
8,"AC_124","AC_014","2022-AC-014-G1-008-5",5,1,14,12,31
9,"AC_156","AC_090","2022-AC-090-G1-009-10",7,1,3,3,0
9,"AC_008","AC_188","2022-AC-188-G1-009-7",5,1,3,3,0
9,"AC_064","AC_205","2022-AC-205-G1-009-1",8,1,11,10,21
9,"AC_091","AC_189","2022-AC-189-G1-009-4",6,1,6,6,20
9,"AC_052","AC_212","2022-AC-212-G1-009-10",4,1,4,4,8
9,"AC_186","AC_153","2022-AC-153-G1-009-9",8,1,7,6,12
9,"AC_170","AC_118","2022-AC-118-G1-009-2",7,1,6,6,11
9,"AC_216","AC_099","2022-AC-099-G1-009-7",6,1,5,5,16
9,"AC_007","AC_147","2022-AC-147-G1-009-4",6,1,7,7,16
9,"AC_045","AC_151","2022-AC-151-G1-009-1",8,1,2,2,2
9,"AC_094","AC_109","2022-AC-109-G1-009-1",8,1,4,4,8
9,"AC_054","AC_119","2022-AC-119-G1-009-6",7,1,10,10,16
9,"AC_169","AC_075","2022-AC-075-G1-009-6",5,1,6,6,6
9,"AC_097","AC_064","2022-AC-064-G1-009-2",5,1,3,3,7
9,"AC_186","AC_011","2022-AC-011-G1-009-2",7,1,5,5,8
9,"AC_047","AC_152","2022-AC-152-G1-009-6",5,1,1,0,0
9,"AC_007","AC_187","2022-AC-187-G1-009-3",4,1,2,2,1
9,"AC_091","AC_204","2022-AC-204-G1-009-6",7,1,10,9,19
9,"AC_045","AC_096","2022-AC-096-G1-009-10",7,1,5,5,4
9,"AC_039","AC_168","2022-AC-168-G1-009-9",3,1,2,2,0
9,"AC_089","AC_057","2022-AC-057-G1-009-4",3,1,0,0,0
9,"AC_125","AC_095","2022-AC-095-G1-009-10",4,1,15,13,9
9,"AC_150","AC_083","2022-AC-083-G1-009-7",6,1,1,1,1
9,"AC_216","AC_034","2022-AC-034-G1-009-7",6,1,13,13,32
9,"AC_091","AC_218","2022-AC-218-G1-009-8",7,1,1,1,3
9,"AC_054","AC_155","2022-AC-155-G1-009-5",7,1,14,13,73
9,"AC_071","AC_115","2022-AC-115-G1-009-1",8,1,16,16,42
9,"AC_045","AC_123","2022-AC-123-G1-009-10",8,1,5,5,8
9,"AC_068","AC_089","2022-AC-089-G1-009-2",8,1,5,5,22
9,"AC_207","AC_055","2022-AC-055-G1-009-3",7,1,12,11,34
9,"AC_150","AC_110","2022-AC-110-G1-009-10",8,1,14,13,67
9,"AC_094","AC_216","2022-AC-216-G1-009-1",8,1,0,0,0
9,"AC_015","AC_197","2022-AC-197-G1-009-8",6,1,18,6,13
9,"AC_124","AC_030","2022-AC-030-G1-009-9",6,1,3,2,3
9,"AC_168","AC_142","2022-AC-142-G1-009-10",1,1,2,1,2
